GRvalue,agent,cell_count,cell_count__ctrl,cell_count__time0,cell_line,concentration,timepoint,receptor_status,color_map
1.031143881,AZD6738,,,,MCF10A,0.01,72,NM,#c85f61
1.013112298,AZD6738,,,,MCF10A,0.031622777000000005,72,NM,#c85f61
0.992840432,AZD6738,,,,MCF10A,0.1,72,NM,#c85f61
1.009623243,AZD6738,,,,MCF10A,0.316227766,72,NM,#c85f61
0.99522141,AZD6738,,,,MCF10A,1.0,72,NM,#c85f61
0.92303021,AZD6738,,,,MCF10A,3.16227766,72,NM,#c85f61
0.45386145299999997,AZD6738,,,,MCF10A,10.0,72,NM,#c85f61
1.0716181340000002,AZD6738,,,,MDAMB231,0.001,72,TNBC,#ca7832
1.0926819890000001,AZD6738,,,,MDAMB231,0.0031622779999999997,72,TNBC,#ca7832
1.038956713,AZD6738,,,,MDAMB231,0.01,72,TNBC,#ca7832
1.139079897,AZD6738,,,,MDAMB231,0.031622777000000005,72,TNBC,#ca7832
1.076661834,AZD6738,,,,MDAMB231,0.1,72,TNBC,#ca7832
1.079197004,AZD6738,,,,MDAMB231,0.316227766,72,TNBC,#ca7832
1.047646072,AZD6738,,,,MDAMB231,1.0,72,TNBC,#ca7832
0.980435402,AZD6738,,,,MDAMB231,3.16227766,72,TNBC,#ca7832
0.387216634,AZD6738,,,,MDAMB231,10.0,72,TNBC,#ca7832
0.984657014,BJP-6-5-3,,,,BT20,0.01,72,TNBC,#ca7832
1.005668457,BJP-6-5-3,,,,BT20,0.031622777000000005,72,TNBC,#ca7832
1.0395997209999999,BJP-6-5-3,,,,BT20,0.1,72,TNBC,#ca7832
1.011876792,BJP-6-5-3,,,,BT20,0.316227766,72,TNBC,#ca7832
1.040095752,BJP-6-5-3,,,,BT20,1.0,72,TNBC,#ca7832
1.013415266,BJP-6-5-3,,,,BT20,3.16227766,72,TNBC,#ca7832
1.0117553879999999,BJP-6-5-3,,,,BT20,10.0,72,TNBC,#ca7832
1.016588984,BJP-6-5-3,,,,BT549,0.01,72,TNBC,#ca7832
0.997791269,BJP-6-5-3,,,,BT549,0.031622777000000005,72,TNBC,#ca7832
0.984596096,BJP-6-5-3,,,,BT549,0.1,72,TNBC,#ca7832
0.98658184,BJP-6-5-3,,,,BT549,0.316227766,72,TNBC,#ca7832
0.994628581,BJP-6-5-3,,,,BT549,1.0,72,TNBC,#ca7832
1.062775458,BJP-6-5-3,,,,BT549,3.16227766,72,TNBC,#ca7832
0.988631692,BJP-6-5-3,,,,BT549,10.0,72,TNBC,#ca7832
1.009386768,BJP-6-5-3,,,,HCC1806,0.01,72,TNBC,#ca7832
0.987786671,BJP-6-5-3,,,,HCC1806,0.031622777000000005,72,TNBC,#ca7832
1.014200679,BJP-6-5-3,,,,HCC1806,0.1,72,TNBC,#ca7832
1.024442184,BJP-6-5-3,,,,HCC1806,0.316227766,72,TNBC,#ca7832
0.9960113209999999,BJP-6-5-3,,,,HCC1806,1.0,72,TNBC,#ca7832
1.033827311,BJP-6-5-3,,,,HCC1806,3.16227766,72,TNBC,#ca7832
0.967060723,BJP-6-5-3,,,,HCC1806,10.0,72,TNBC,#ca7832
1.04319798,BJP-6-5-3,,,,HCC1954,0.01,72,HER2amp,#4dab9b
1.043946749,BJP-6-5-3,,,,HCC1954,0.031622777000000005,72,HER2amp,#4dab9b
1.037607511,BJP-6-5-3,,,,HCC1954,0.1,72,HER2amp,#4dab9b
1.056130819,BJP-6-5-3,,,,HCC1954,0.316227766,72,HER2amp,#4dab9b
1.004009147,BJP-6-5-3,,,,HCC1954,1.0,72,HER2amp,#4dab9b
