timepoint,agent,cell_line,GR50,GRmax,GR_AOC,GEC50,GRinf,h_GR,r2_GR,pval_GR,receptor_status,color_map
72,LY2606368,HCC1937,0.0006126579777661116,0.0027674109183701834,0.5487800800339137,0.0006110679049080104,0.006454827411141707,5.0,0.9928384300299424,3.1083422946665e-08,TNBC,#ca7832
72,LY2606368,HCC38,0.0005086623253697227,-0.4897113550498152,0.8052215025722501,0.0005818169987601662,-0.4789357105182573,5.0,0.9944385821327296,1.2827716333596584e-08,TNBC,#ca7832
72,LY3023414,HCC1143,0.28245746174513153,-0.21709243593817812,0.4477171480487988,9.553498297864754,-1.0,0.3120051847928079,0.8861723336941809,0.0004975851516070273,TNBC,#ca7832
72,LY3023414,HCC1395,0.005452695956995803,-0.003822442070392617,0.6116784961734708,288.8425707524463,-1.0,0.10099835159250524,0.7111745855079584,0.012948632895711798,TNBC,#ca7832
72,LY3023414,HCC1419,1.536443838954543e-05,-0.6105251319960361,0.9837050897201828,0.0932699723637341,-1.0,0.12611495082079907,0.6473702589116461,0.026038519289593998,HER2amp,#4dab9b
72,LY3023414,HCC1500,3.0914884434784174e-06,-0.9985761994400266,1.9880697282179365,1.181274057128099e-05,-0.9961118235182546,0.8176020581677326,0.8468321695444416,0.0014063274795793614,HR+,#7da245
72,LY3023414,HCC1937,0.15047296369516885,0.03666718339350394,0.4805396898900926,452.7033609293754,-1.0,0.13716863898697146,0.6535744256406568,0.024470047359223868,TNBC,#ca7832
72,LY3023414,HCC38,0.004218891244051339,-0.0222031892325506,0.6663897946387491,30.17020194164361,-1.0,0.12378677471165035,0.9024184539857776,0.00029025982609054424,TNBC,#ca7832
72,MFH-2-90,HCC1143,0.0005002178448005866,-0.2795590204456918,0.7147226482951377,0.0005426374991677462,-0.251143845973568,5.0,0.9929172510259888,2.9902429421468923e-08,TNBC,#ca7832
72,MFH-2-90,HCC1395,0.0005876652384272096,-0.5041956754958519,0.8533563979418607,0.0006765271130074796,-0.5109880585083554,5.0,0.9798791478278256,1.155479636416601e-06,TNBC,#ca7832
72,MFH-2-90,HCC1419,0.000755526138453435,-0.3429371601455829,0.6971381477631218,0.0009365678741483916,-0.32312005899476826,2.320653142139475,0.9855154684824008,3.6573421058339045e-07,HER2amp,#4dab9b
72,MFH-2-90,HCC1500,0.00028572341260554136,-0.9995807940336432,1.3366591079347026,0.00035763016173083196,-1.0,4.8941380992502195,0.7358733095227967,0.009469848122066304,HR+,#7da245
72,MFH-2-90,HCC1937,0.0004902949075114904,-0.2052021087387177,0.7006130598094031,0.0005281395051738786,-0.22514751530255056,5.0,0.9786258366720256,1.4276177296990156e-06,TNBC,#ca7832
72,MFH-2-90,HCC38,0.00047345727556672275,-0.3573107489285893,0.7722921806018297,0.0005220399070185855,-0.3148629072785895,5.0,0.9885918896516142,1.5857984780875967e-07,TNBC,#ca7832
